max_depth,min_samples_split,min_samples_leaf,max_features,rmse
10,10,5,10,0.11308814885836849
10,10,1,10,0.1131237439411679
10,2,1,10,0.11331343718065304
10,2,5,10,0.11520998211559116
5,10,5,10,0.11586868591098307
5,2,5,10,0.11610441582650463
5,10,1,10,0.11673027621948542
5,2,1,10,0.11674158230288578
10,10,1,5,0.12005862264367732
10,10,5,5,0.12015584750360168
10,2,1,5,0.12106702118500427
5,10,1,5,0.12216350162544332
5,2,5,5,0.12236413983030722
5,10,5,5,0.12256318496983339
5,2,1,5,0.12326955215927153
10,2,5,5,0.12615704539771153
