max_depth,min_samples_split,min_samples_leaf,rmse
3,2,5,1819952.0502785756
3,5,5,1819952.0502785756
3,10,5,1819952.0502785756
3,2,1,1819952.0535955906
3,5,1,1819952.0535955906
3,10,1,1819952.0535955906
5,2,5,1820523.999821399
5,5,5,1820523.999821399
5,10,5,1820523.9998813241
5,10,1,1822733.9576314397
5,5,1,1822733.9576314397
5,2,1,1822733.957636676
10,10,5,1977442.781652927
10,5,5,2035853.1930719204
10,2,5,2054012.642433965
10,10,1,2093011.1806090742
10,5,1,2169679.22901956
10,2,1,2230174.2387434663
