max_depth,min_samples_split,min_samples_leaf,max_features,rmse
5,2,1,10,2.0204897624101976
5,2,1,5,2.0254693844918434
10,2,1,10,2.029948814513346
5,10,5,5,2.0316342888504573
10,10,5,5,2.0418481525037993
10,10,1,10,2.0581901101547935
10,2,1,5,2.059551645662686
10,10,5,10,2.0678315664221985
10,10,1,5,2.111355386800967
5,10,1,5,2.132532676831752
5,10,1,10,2.1435629022774605
5,10,5,10,2.143852097927413
5,2,5,5,2.2954993529658565
5,2,5,10,2.40818919047617
10,2,5,5,3.2149054362808345
10,2,5,10,3.4879350462490293
