max_depth,min_samples_split,min_samples_leaf,rmse
3,5,1,2.1865757221197315
3,2,1,2.198909855872938
3,10,1,2.29184156648806
10,10,1,2.3029599030017414
5,5,1,2.307116121556521
5,10,1,2.3195225986411563
10,5,1,2.3214747957584647
5,2,1,2.3652137032202267
5,10,5,2.3855401160333582
10,10,5,2.3855401160333582
5,2,5,2.4030916476184805
10,2,1,2.4304400860670823
5,5,5,2.4343184806388023
3,10,5,2.4581801696770533
3,2,5,2.4708267865488707
3,5,5,2.4708267865488707
10,5,5,2.5313505355466432
10,2,5,2.8261150324746978
