max_depth,min_samples_split,min_samples_leaf,rmse
10,10,1,2.3029599030017414
20,10,1,2.3029599030017414
30,10,1,2.3029599030017414
20,5,1,2.3214747957584647
30,5,1,2.3214747957584647
10,5,1,2.3214747957584647
20,10,5,2.3855401160333582
30,10,5,2.3855401160333582
10,10,5,2.3855401160333582
10,2,1,2.4304400860670823
20,2,1,2.43088873529219
30,2,1,2.43088873529219
20,5,5,2.5313505355466432
10,5,5,2.5313505355466432
30,5,5,2.5313505355466432
10,2,5,2.8261150324746978
30,2,5,2.9321392752602877
20,2,5,2.9321392752602877
